1,Handicap
2,Odd/Even
3,Over/Under
4,Correct Score (Soccer)
5,FT.1X2
6,Total Goal (Soccer)
7,1H Handicap
8,1H Over/Under
10,Outright
11,Total Corners (Soccer)
12,1H Odd/Even
13,Clean Sheet (Soccer)
14,First Goal/Last Goal (Soccer)
15,1H 1X2
16,HT/FT (Soccer)
17,2H Handicap (Soccer)
18,2H Over/Under (Soccer)
19,Substitutes
20,Moneyline
21,1H Moneyline
22,Next Goal (Soccer)
23,Next Corner
24,Double Chance (Soccer)
25,Draw No Bet (Soccer)
26,Both/One/Neither Team To Score (Soccer)
27,To Win To Nil (Soccer)
28,3-Way Handicap (Soccer)
29,3-Way Handicap(Other Sports)
30,1H Correct Score (Soccer)
38,Single Match Parlay (Soccer)
121,Home No Bet (Soccer)
122,Away No Bet (Soccer)
123,Draw/No Draw (Soccer)
124,FT.1X2 HDP (Soccer)
125,1H 1X2 HDP (Soccer)
126,1H Total Goal (Soccer)
127,1H First Goal/Last Goal (Soccer)
128,HT/FT Odd/Even (Soccer)
133,Home To Win Both Halves (Soccer)
438,Home To Win Both Halves (Soccer)
134,Away To Win Both Halves (Soccer)
439,Away To Win Both Halves (Soccer)
135,Penalty Shootout (Soccer)
140,Highest Scoring Half (Soccer)
442,Highest Scoring Half (Soccer)
141,Highest Scoring Half Home Team (Soccer)
443,Highest Scoring Half Home Team (Soccer)
142,Highest Scoring Half Away Team (Soccer)
444,Highest Scoring Half Away Team (Soccer)
143,1H Result/Total Goals (Soccer)
145,Both Teams To Score (Soccer)
146,2H Both Teams To Score (Soccer)
433,2H Both Teams To Score (Soccer)
147,Home To Score In Both Halves (Soccer)
436,Home To Score In Both Halves (Soccer)
148,Away To Score In Both Halves (Soccer)
437,Away To Score In Both Halves (Soccer)
149,Home To Win Either Half (Soccer)
440,Home To Win Either Half (Soccer)
150,Away To Win Either Half (Soccer)
441,Away To Win Either Half (Soccer)
151,1H Double Chance (Soccer)
410,1H Double Chance (Soccer)
152,Half Time/Full Time Correct Score (Soccer)
416,Half Time/Full Time Correct Score (Soccer)
153,Game HDP (Tennis)
154,Set x Winner (Tennis)
155,Set x Game Handicap (Tennis)
156,Set x Total Game Over/Under (Tennis)
157,Odd/Even (Soccer)
159,Exact Total Goals (Soccer)
406,Exact Total Goals (Soccer)
160,Next Goal (Soccer)
161,Exact Home Team Goals (Soccer)
407,Exact Home Team Goals (Soccer)
162,Exact Away Team Goals (Soccer)
409,Exact Away Team Goals (Soccer)
163,Result/Total Goals (Soccer)
144,Result/Total Goals (Soccer)
164,Extra Time Next Goal (Soccer)
165,Extra Time 1H Correct Score (Soccer)
166,Extra Time Correct Score (Soccer)
167,Extra Time 1H 1X2 (Soccer)
168,Who Advances To Next Round (Soccer)
169,Next Goal Time (Soccer)
170,Teams To Score (Soccer)
171,Winning Margin (Soccer)
408,Winning Margin (Soccer)
172,Result And First Team To Score (Soccer)
415,Result And First Team To Score (Soccer)
173,Extra Time Yes/No (Soccer)
174,Extra Time And Goal (Soccer)
175,Match Decided Method (Soccer)
176,First Ten Minutes 1X2 (Soccer)
177,2H 1x2 (Soccer)
430,2H 1x2 (Soccer)
178,2H Over/Under (Soccer)
179,Exact 1H Goals (Soccer)
180,1H Next Goal (Soccer)
181,1H Exact Home Team Goals (Soccer)
182,1H Exact Away Team Goals (Soccer)
184,2H Odd/Even (Soccer)
428,2H Odd/Even (Soccer)
185,2H Draw No Bet (Soccer)
432,2H Draw No Bet (Soccer)
186,2H Double Chance (Soccer)
431,2H Double Chance (Soccer)
187,Exact 2H Goals (Soccer)
188,1H Both Teams To Score (Soccer)
427,1H Both Teams To Score (Soccer)
189,Both Halves Over 1.5 Yes/No (Soccer)
434,Both Halves Over 1.5 Yes/No (Soccer)
190,Both Halves Under 1.5 Yes/No (Soccer)
435,Both Halves Under 1.5 Yes/No (Soccer)
191,1H Draw No Bet (Soccer)
411,1H Draw No Bet (Soccer)
192,First Goal Specific Time (10 min) (Soccer)
193,First Goal Specific Time (15 min) (Soccer)
194,Corners Odd/Even (Soccer)
195,Home Team Exact Corners (Soccer)
196,Away Team Exact Corners (Soccer)
197,Home Team Total Corners Over/Under (Soccer)
198,Away Team Total Corners Over/Under (Soccer)
199,Total Corners (Soccer)
200,1H Home Team Exact Corners (Soccer)
201,1H Away Team Exact Corners (Soccer)
202,1H Total Corners (Soccer)
203,1H Corners Odd/Even (Soccer)
204,1H Home Corner Over/Under (Soccer)
205,1H Away Corner Over/Under (Soccer)
206,First Corner (Soccer)
207,1H First Corner (Soccer)
208,Last Corner (Soccer)
209,1H Last Corner (Soccer)
210,Player Sent Off (Soccer)
211,1H Player Sent off (Soccer)
212,Home Team Player Sent Off (Soccer)
213,1H Home Team Player Sent Off (Soccer)
214,Away Team Player Sent Off (Soccer)
215,1H Away Team Player Sent Off (Soccer)
221,Next 1 Minute (Soccer)
222,Next 5 Minutes (Soccer)
